Province,Country,lon,lat
Acre,Brazil,-70.8119953,-9.0237964
Aguascalientes,Mexico,-102.2915677,21.8852562
Alabama,United_States,-86.902298,32.3182314
Alagoas,Brazil,-36.7819505,-9.5713058
Amapa,Brazil,-52.0029565,0.9019925
Amazonas,Brazil,-70.2296900361979,-2.14011618307292
American_Samoa,United_States,-170.6961815,-14.3016396
Antioquia,Colombia,-75.560745064,6.55290904
Arauca,Colombia,-71.229909725,6.680737125
Arizona,United_States,-111.0937311,34.0489281
Arkansas,United_States,-91.8318334,35.20105
Artibonite,Haiti,-72.4258145,19.362902
Atlantico,Colombia,-74.9094936869565,10.6849646043478
Bahia,Brazil,-41.7007272,-12.579738
Baja_California,Mexico,-113.5000018,27.9999938
Baja_California_Sur,Mexico,-111.6660725,26.0444446
Barranquilla,Colombia,-74.8069813,11.0041072
Bogota,Colombia,-74.1063404545455,4.63814737727273
Bolivar,Colombia,-74.6170712173913,9.31178827391304
Boyaca,Colombia,-73.2123918112903,5.66141116935484
Buenos_Aires,Argentina,-58.3815591,-34.6036844
CABA,Argentina,-58.3815591,-34.6036844
Caldas,Colombia,-75.4316600071429,5.28514945357143
California,United_States,-119.4179324,36.778261
Campeche,Mexico,-90.2618068,18.931225
Caqueta,Colombia,-75.3956537058824,1.36956967058824
Cartagena,Colombia,-75.4794257,10.3910485
Casanare,Colombia,-72.268396265,5.39826598
Catamarca,Argentina,-65.7877209,-28.4715877
Cauca,Colombia,-76.6888624837209,2.4893811627907
Ceara,Brazil,-39.3206241,-5.4983977
Centre,Haiti,-72.0468164,18.9582742
Cesar,Colombia,-73.5403818884615,9.30217742307692
Chaco,Argentina,-59.0243784,-27.4257175
Chiapas,Mexico,-93.1292353,16.7569318
Chihuahua,Mexico,-106.0691004,28.6329957
Choco,Colombia,-76.810545884375,5.795324890625
Chubut,Argentina,-65.1114818,-43.2934246
Coahuila_de_Zaragoza,Mexico,-101.7068294,27.058676
Colima,Mexico,-104.0072348,19.1222634
Colorado,United_States,-105.7820674,39.5500507
Connecticut,United_States,-73.087749,41.6032207
Cordoba,Argentina,-71.5799938729529,-5.66852820074442
Corrientes,Argentina,-58.8306349,-27.4692131
Cundinamarca,Colombia,-74.1863601247863,4.82458644017094
Delaware,United_States,-75.5276699,38.9108325
District_of_Columbia,United_States,-77.0368707,38.9071923
Distrito_Federal,Mexico,-93.1518554083333,15.3221641716667
Duarte,Dominican_Republic,-70.0270004,19.2090823
Durango,Mexico,-104.6531759,24.0277202
Entre_Rios,Argentina,-60.4956461,-31.7746654
Espaillat,Dominican_Republic,-70.2786775,19.6277658
Espirito_Santo,Brazil,-40.3088626,-19.1834229
Florida,United_States,-81.5157535,27.6648274
Formosa,Argentina,-58.1755669,-26.1857768
Georgia,United_States,-82.9000751,32.1656221
Goias,Brazil,-49.8362237,-15.8270369
Grande_Anse,Haiti,-74.07701,18.5489259
Guainia,Colombia,-68.23625609,2.61801801
Guajira,Colombia,-72.78656730625,11.0682958375
Guanajuato,Mexico,-101.2573586,21.0190145
Guaviare,Colombia,-72.4212235,2.040488
Guerrero,Mexico,-99.5450974,17.4391926
Hawaii,United_States,-155.5827818,19.8967662
Hidalgo,Mexico,-98.7623874,20.0910963
Huila,Colombia,-75.6364931026316,2.45662442894737
Illinois,United_States,-89.3985283,40.6331249
Indiana,United_States,-86.1349019,40.2671941
Iowa,United_States,-93.097702,41.8780025
Jalisco,Mexico,-103.3494376,20.6595382
Jujuy,Argentina,-65.302177,-24.1843397
Kansas,United_States,-98.4842465,39.011902
Kentucky,United_States,-84.2700179,37.8393332
La_Altagracia,Dominican_Republic,-68.6201072,18.5850236
La_Pampa,Argentina,-64.2839209,-36.6147573
La_Rioja,Argentina,-66.8564579,-29.4134538
La_Romana,Dominican_Republic,-68.9658817,18.4338645
La_Vega,Dominican_Republic,-70.5205436,19.2152609
Louisiana,United_States,-91.9623327,30.9842977
Magdalena,Colombia,-74.4955769933333,10.0993210333333
Maine,United_States,-69.4454689,45.253783
Maranhao,Brazil,-45.2744159,-4.9609498
Maria_Trinidad_Sanchez,Dominican_Republic,-69.8514439,19.3734597
Maryland,United_States,-76.6412712,39.0457549
Massachusetts,United_States,-71.3824374,42.4072107
Mato_Grosso,Brazil,-56.921099,-12.6818712
Mato_Grosso_do_Sul,Brazil,-54.7851531,-20.7722295
Mendoza,Argentina,-68.8458386,-32.8894587
Meta,Colombia,-73.4422532066667,3.62612771666667
Mexico,Mexico,-99.133208,19.4326077
Michigan,United_States,-85.6023643,44.3148443
Michoacan_de_Ocampo,Mexico,-101.7068294,19.5665192
Minas_Gerais,Brazil,-44.5550308,-18.512178
Minnesota,United_States,-94.6858998,46.729553
Misiones,Argentina,-55.9467076,-27.4269255
Mississippi,United_States,-89.3985283,32.3546679
Missouri,United_States,-91.8318334,37.9642529
Montana,United_States,-110.3625658,46.8796822
Morelos,Mexico,-99.1013498,18.6813049
Narino,Colombia,-77.5621559671875,1.383879571875
Nayarit,Mexico,-104.8454619,21.7513844
Nebraska,United_States,-99.9018131,41.4925374
Neuquen,Argentina,-68.0591888,-38.9516784
Nevada,United_States,-116.419389,38.8026097
New_Hampshire,United_States,-71.5723953,43.1938516
New_Jersey,United_States,-74.4056612,40.0583238
New_Mexico,United_States,-105.8700901,34.5199402
New_York,United_States,-74.0059413,40.7127837
Nippes,Haiti,-73.4180211,18.3990735
Nord,Haiti,-72.189,19.5687715
Nord_Est,Haiti,-71.8571331,19.4889723
Nord_Ouest,Haiti,-73.0405277,19.8374009
Norte_Santander,Colombia,-72.8236380634146,7.85175753414634
North_Carolina,United_States,-79.0192997,35.7595731
Nuevo_Leon,Mexico,-99.9961947,25.592172
Oaxaca,Mexico,-96.7132304,17.0542297
Oeste,Centro,-47.930556,-15.779722
Ohio,United_States,-82.907123,40.4172871
Oklahoma,United_States,-97.092877,35.0077519
Oregon,United_States,-120.5542012,43.8041334
Other,Dominican_Republic,-70.6341586,19.1151545
Ouest,Haiti,-72.4731529,18.4957015
Para,Brazil,-54.9306152,-1.9981271
Paraiba,Brazil,-36.7819505,-7.2399609
Parana,Brazil,-52.0215415,-25.2520888
Pedernales,Dominican_Republic,-71.7414883,18.0395854
Pennsylvania,United_States,-77.1945247,41.2033216
Peravia,Dominican_Republic,-70.3335887,18.2786594
Pernambuco,Brazil,-36.954107,-8.8137173
Piaui,Brazil,-42.7289236,-7.7183401
Puebla,Mexico,-98.2061996,19.0412967
Puerto_Rico,United_States,-66.590149,18.220833
Putumayo,Colombia,-76.5286134285714,0.764880192857143
Queretaro_de_Arteaga,Mexico,-100.3898876,20.5888184
Quindio,Colombia,-75.6980724461538,4.49190396153846
Quintana_Roo,Mexico,-88.4791376,19.1817393
Rhode_Island,United_States,-71.4774291,41.5800945
Rio_de_Janeiro,Brazil,-43.1728965,-22.9068467
Rio_Grande_do_Norte,Brazil,-36.954107,-5.4025803
Rio_Grande_do_Sul,Brazil,-51.2176986,-30.0346316
Rio_Negro,Argentina,-63.0266339,-40.8261434
Risaralda,Colombia,-75.8515913933333,5.07789048666667
Rondonia,Brazil,-63.580611,-11.5057341
Roraima,Brazil,-62.0750998,2.7375971
Salta,Argentina,-65.4231976,-24.7821269
San_Andres,Colombia,-81.7112275666667,12.548921
San_Cristobal,Dominican_Republic,-70.1065849,18.4180414
San_Juan,Argentina,-68.5385941,-31.5351074
San_Luis,Argentina,-66.3377522,-33.3017267
San_Luis_Potosi,Mexico,-100.9855409,22.1564699
